ID,Date,AM_PM_Trip,Origin_Type,Origin,Origin_Type,Destination_Type,Destination,Destination_Type,Origin_Access_Mode,1st_Before_Transfer,1st_Before_Transfer_Agency,Destination_Egress_Mode,Employment_status,Work,Student_Status,School,Work_Before_or_After_Trip,Work_After_Trip,Work_Before_Trip,School_Before_or_After_Trip,School_After_Trip,School_Before_Trip,Time_Left_Home,Time_Return_Home,Fare_Payment_(Ticket),Fare_Payment_Other,Fare_Type,Fare_Type_Other,Driver's_License,#_of_Employed_in_Household,#_of_Employed_in_Household_Other,#_of_Drivable_Veh._in_House,#_of_Drivable_Veh._in_House_Other,Year_of_Birth,"Hispanic,_Latino,_or_of_Spanish_Origin_",Race_Ethnicity,Other_Ethnicity,Language_Other_Than_English,Language,Other_Language,English_Fluency,Total_Household_Income,Gender,Weight,#_of_Transfers_
159192,04/17/2014,1,3,Origin,Home,7,Dest,College,5,2,,1,4,,,,,,,,,2,4,13,3,,1,,1,2,,2,,94,2,3,,1,12,Urdu,1,9,1,5.7368,2
159193,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,4,15,4,,1,,1,3,,3,,78,1,7,Hispanic,2,,,,7,1,13.3261,2
159194,04/17/2014,1,3,Origin,Home,1,Dest,Work,2,2,,1,,,1,,,,2,,,,4,15,3,,1,,1,2,,2,,77,2,1,,1,7,,1,7,1,13.3261,2
159195,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,3,15,3,,1,,1,4,,5,5,63,2,2,,2,,,,8,1,13.3261,2
159196,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,5,15,3,,1,,1,3,,3,,78,2,3,,2,,,,7,1,9.8636,2
164196,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,13,3,,,1,,,2,,,,,1,15,3,,1,,1,3,,4,,69,2,2,,2,,,,9,1,8.3158,2
164198,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,2,,3,,,1,,,2,,,,,4,15,3,,5,Employer Discount,1,3,,3,,0,2,3,,1,12,Gujarati,1,10,1,13.3261,1
164199,04/09/2014,2,4,Origin,Social/Recreation,3,Dest,Home,1,1,8,1,5,,1,,,,,,,,3,14,2,,1,,1,1,,3,,55,2,1,,2,,,,4,2,5.7368,3
164200,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,2,,5,,,1,,,2,,,,,3,15,3,,1,,1,3,,4,,74,2,1,,2,,,,8,2,5.52,1
164201,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,3,,,1,,,2,,,,,3,15,3,,1,,1,3,,3,,66,2,3,,1,12,Urdu,1,8,1,5.52,2
164202,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,2,,3,,,1,,,2,,,,,1,15,3,,1,,1,3,,5,4,0,2,2,,2,,,,7,1,4.9286,1
164203,04/09/2014,2,1,Origin,Work,3,Dest,Home,3,2,,3,,,1,,,2,,,,,2,15,4,,1,,1,3,,4,,71,2,2,,1,12,Yoruba,1,7,1,9.3684,1
164204,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,3,,,1,,,2,,,,,2,15,3,,2,,1,2,,2,,47,2,1,,2,,,,6,1,6.7234,2
164206,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,5,5,,,1,,,2,,,,,3,16,3,,1,,1,3,,4,,63,2,7,American,1,1,,1,7,1,5.9333,2
164207,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,3,,,1,,,2,,,,,2,17,4,,1,,1,2,,4,,54,2,2,,2,,,,7,1,6.7234,2
164209,04/09/2014,2,1,Origin,Work,3,Dest,Home,3,2,,3,,,1,,,2,,,,,2,16,4,,1,,1,3,,4,,69,2,3,,1,12,Hmong,1,7,1,3.8537,1
164213,04/10/2014,2,1,Origin,Work,3,Dest,Home,3,2,,3,,,5,,,2,,,,,1,16,3,,1,,1,2,,3,,57,2,2,,1,12,Yoruba,1,5,2,4.9286,1
164214,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,13,3,,,5,,,2,,,,,4,15,4,,5,Employer Discount (SJSU),1,3,,3,,69,2,6,,2,,,,7,2,5.7368,2
164215,04/10/2014,2,1,Origin,Work,3,Dest,Home,3,2,,5,,,5,,,2,,,,,2,17,3,,1,,1,3,,3,,71,2,1,,2,,,,6,1,8.4694,1
164218,04/10/2014,2,1,Origin,Work,3,Dest,Home,2,2,,2,,,5,,,2,,,,,4,15,3,,1,,1,3,,4,,72,1,7,Hispanic/Latino,1,1,,1,8,1,13.3261,1
164219,04/10/2014,2,1,Origin,Work,3,Dest,Home,2,2,,2,,,5,,,2,,,,,3,16,4,,1,,1,4,,3,,54,2,1,,2,,,,7,1,8.4286,1
164221,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,3,3,,,5,,,2,,,,,1,16,3,,1,,1,2,,2,,55,2,1,,2,,,,5,1,5.9333,3
164224,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,2,,3,,,5,,,2,,,,,2,16,3,,1,,1,4,,3,,70,2,5,,2,,,,4,1,10.5333,1
164225,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,1,15,4,,1,,1,3,,3,,68,2,3,,1,2,,1,6,1,3.8537,2
164226,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,1,15,3,,1,,1,3,,5,5,60,2,3,,1,6,,1,6,1,5.9333,3
164227,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,1,14,2,,1,,1,4,,3,,76,1,7,Latina,1,1,,2,3,1,6.7234,1
164228,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,3,,,1,,,,2,,,,1,15,3,,1,,1,3,,4,,54,2,2,,2,,,,5,1,9.3684,1
164229,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,5,,,1,,,,2,,,,1,14,4,,1,,1,5,,5,7,62,2,1,,1,12,Greek,1,8,1,4.9286,1
164233,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,1,14,4,,1,,1,3,,3,,76,2,1,,2,,,,5,2,8.4286,1
164234,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,13,3,,1,,1,4,,3,,57,2,1,,2,,,,6,1,5.7368,2
164235,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,3,,,1,,,,2,,,,1,15,4,,1,,1,5,,5,4,70,2,3,,1,2,,1,4,2,9.3684,1
164236,04/15/2014,1,3,Origin,Home,1,Dest,Work,4,2,,1,,,1,,,,2,,,,1,14,3,,1,,1,4,,4,,78,2,1,,2,,,,6,1,8.4694,1
164237,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,16,3,,1,,1,3,,3,,71,2,3,,1,12,Tamil,1,7,2,13.3261,2
164238,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,15,3,,1,,1,2,,3,,52,2,2,,2,,,,6,2,9.875,2
164239,04/15/2014,1,3,Origin,Home,1,Dest,Work,2,2,,2,,,1,,,,2,,,,2,14,4,,1,,1,2,,3,,84,2,6,,2,,,,7,1,5.7368,1
164240,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,13,3,,1,,1,5,,5,4,57,2,3,,1,6,,1,8,2,8.3158,2
164241,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,16,2,,1,,1,3,,4,,80,1,7,Hispanic,1,1,,2,7,1,5.9333,2
164242,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,16,4,,1,,1,2,,4,,61,2,6,,2,,,,5,1,3.8537,2
164243,04/16/2014,1,3,Origin,Home,1,Dest,Work,5,2,,3,,,1,,,,2,,,,2,17,2,,1,,1,3,,4,,85,2,2,,2,,,,5,2,5.9333,1
164244,04/16/2014,1,3,Origin,Home,1,Dest,Work,5,2,,2,,,1,,,,2,,,,2,14,4,,1,,1,4,,3,,63,2,3,,1,6,,1,5,2,6.2683,1
164245,04/16/2014,1,3,Origin,Home,1,Dest,Work,5,2,,4,,,1,,,,2,,,,2,17,3,,1,,1,4,,3,,85,1,7,Hispanic/Latino,1,1,,1,3,1,10.5333,1
164247,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,3,15,4,,1,,1,2,,3,,0,2,2,,2,,,,8,2,8.4286,2
164248,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,3,15,4,,2,,1,2,,3,,42,2,1,,2,,,,7,1,13.3261,2
164249,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,4,13,3,,1,,1,3,,3,,57,2,1,,2,,,,7,2,9.8636,2
169232,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,2,,3,,,1,,,2,,,,,2,15,4,,1,,1,3,,5,5,73,2,7,Italian,1,12,Italian,1,8,2,4.9286,1
169233,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,2,,3,,,1,,,2,,,,,4,14,3,,1,,1,3,,4,,0,2,3,,1,2,,1,9,1,9.875,1
169234,04/09/2014,2,1,Origin,Work,3,Dest,Home,2,2,,2,,,1,,,2,,,,,4,16,3,,1,,1,4,,3,,54,2,1,,2,,,,8,1,9.8636,1
169235,04/09/2014,2,1,Origin,Work,3,Dest,Home,2,2,,2,,,1,,,2,,,,,1,15,3,,1,,1,2,,2,,74,2,1,,2,,,,5,1,6.7234,1
169236,04/09/2014,2,1,Origin,Work,3,Dest,Home,4,2,,3,,,1,,,2,,,,,2,15,2,,1,,1,2,,2,,71,1,6,,1,1,,1,5,2,3.8537,1
169238,04/09/2014,2,1,Origin,Work,3,Dest,Home,2,2,,2,,,1,,,2,,,,,1,16,3,,1,,1,2,,2,,74,1,6,,1,1,,1,3,1,5.9333,1
169239,04/09/2014,2,1,Origin,Work,3,Dest,Home,2,2,,2,,,1,,,2,,,,,3,14,3,,1,,1,3,,4,,72,2,1,,1,12,Swedish,1,7,1,11.2,1
169241,04/09/2014,2,1,Origin,Work,3,Dest,Home,3,2,,7,,,1,,,2,,,,,1,15,3,,1,,1,3,,3,,59,2,1,,2,,,,7,2,4.9286,1
169242,04/09/2014,2,1,Origin,Work,3,Dest,Home,3,2,,3,,,1,,,2,,,,,2,15,4,,1,,1,3,,4,,71,1,1,,1,1,,1,4,2,9.3684,1
169243,04/09/2014,2,7,Origin,College,3,Dest,Home,1,1,8,3,4,,,,,,,,2,,1,16,3,,5,Student Discount (SJSU),1,2,,3,,85,2,1,,2,,,,3,1,5.5,3
169244,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,13,3,,,1,,,2,,,,,2,16,3,,1,,1,3,,2,,86,1,1,,2,,,,5,2,3.8537,2
169246,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,5,,,1,,,2,,,,,4,15,4,,1,,1,3,,2,,81,2,3,,1,12,Tamil,1,5,2,13.3261,2
169247,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,3,,,1,,,2,,,,,3,15,4,,1,,1,5,,5,4,89,2,1,,2,,,,8,2,13.3261,2
169248,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,3,,,1,,,2,,,,,4,16,3,,1,,1,2,,2,,85,3,3,,1,3,,2,6,2,13.3261,2
169249,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,3,,,1,,,2,,,,,2,3,3,,1,,1,2,,3,,67,2,3,,1,5,,1,8,2,13.3261,2
169250,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,5,,,1,,,2,,,,,3,16,3,,1,,1,5,,3,,59,2,1,,2,,,,9,1,13.3261,2
169251,04/10/2014,2,4,Origin,Social/Recreation,3,Dest,Home,4,2,,5,1,Q120,1,,1,,,,,,4,16,3,,1,,1,3,,5,4,57,2,1,,2,,,,8,1,11.2,1
169252,04/10/2014,2,1,Origin,Work,3,Dest,Home,3,2,,3,,,1,,,2,,,,,2,16,3,,1,,1,4,,3,,52,2,3,,1,6,,2,6,1,8.4694,1
169253,04/10/2014,2,1,Origin,Work,3,Dest,Home,3,2,,3,,,1,,,2,,,,,2,16,3,,1,,2,2,,3,,66,1,7,Latino,1,1,,3,4,1,9.3684,1
169255,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,1,16,2,,1,,1,2,,2,,56,2,6,,2,,,,6,2,3.8537,3
169256,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,1,14,4,,2,,1,2,,3,,46,2,2,,2,,,,5,2,6.2683,3
169257,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,14,3,,1,,1,3,,3,,55,2,1,,2,,,,8,1,5.52,2
169259,04/16/2014,1,3,Origin,Home,1,Dest,Work,5,2,,1,,,1,,,,2,,,,2,15,4,,1,,1,2,,2,,74,1,7,Hispanic,2,,,,4,2,5.9333,2
169260,04/16/2014,1,3,Origin,Home,1,Dest,Work,5,2,,1,,,1,,,,2,,,,2,16,4,,1,,1,2,,4,,65,1,7,Mexican,2,,,,6,1,5.9333,3
169261,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,16,2,,1,,1,3,,3,,71,2,1,,2,,,,7,1,5.9333,2
169262,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,15,3,,1,,1,2,,2,,60,2,1,,2,,,,6,2,6.2683,2
169263,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,15,4,,1,,1,2,,4,,54,2,1,,2,,,,7,1,6.2683,1
169264,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,16,4,,1,,1,6,,5,4,57,2,1,,2,,,,4,1,6.2683,2
169265,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,15,4,,1,,1,2,,2,,68,2,1,,2,,,,5,2,6.2683,2
169266,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,3,16,4,,1,,1,2,,3,,81,2,1,,2,,,,7,1,9.9167,1
169267,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,15,3,,1,,1,3,,3,,75,2,5,,1,12,Hindi,1,6,2,4.9286,2
169269,04/16/2014,1,3,Origin,Home,1,Dest,Work,1,2,,2,,,1,,,,2,,,,3,15,3,,1,,1,4,,5,4,63,2,1,,2,,,,7,1,8.4286,1
169270,04/16/2014,1,3,Origin,Home,1,Dest,Work,4,2,,4,,,1,,,,2,,,,2,14,3,,1,,1,3,,4,,90,2,1,,2,,,,6,1,13.3261,1
169271,04/16/2014,1,3,Origin,Home,1,Dest,Work,1,2,,1,,,1,,,,2,,,,3,14,3,,1,,1,3,,2,,73,2,3,,1,12,Gujarati,1,5,1,13.3261,2
169273,04/16/2014,1,3,Origin,Home,1,Dest,Work,2,2,,1,,,1,,,,2,,,,4,15,3,,1,,1,3,,4,,67,2,1,,1,12,Dutch,1,7,1,9.8636,2
169275,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,3,12,4,,1,,1,5,,5,4,84,2,1,,2,,,,7,1,9.875,1
230286,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,3,,,1,,,,,,,,2,3,4,,1,,1,3,,3,,53,2,2,,2,,,,5,2,8.5,2
230288,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,2,,3,,,1,,,2,,,,,2,14,4,,1,,1,3,,3,,78,2,3,,2,,,,7,2,9.875,1
230290,04/09/2014,2,7,Origin,College,3,Dest,Home,5,2,,3,2,Q120,,,3,,,,,,3,16,2,,1,,1,4,,3,,95,2,3,,1,12,Hindi,1,9,1,8.4694,1
230291,04/09/2014,2,1,Origin,Work,3,Dest,Home,3,2,,3,,,1,,,2,,,,,2,15,4,,1,,1,3,,3,,61,1,1,,2,,,,5,2,10.5333,1
230293,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,2,,3,,,1,,,2,,,,,2,15,2,,3,,1,2,,2,,56,2,6,,2,,,,4,2,5.5,1
230294,04/09/2014,2,1,Origin,Work,3,Dest,Home,5,1,5,3,,,1,,,2,,,,,2,16,3,,1,,1,3,,3,,71,2,1,,2,,,,7,1,5.9333,2
230295,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,2,,3,,,1,,,2,,,,,2,15,2,,1,,1,5,,5,4,63,2,1,,2,,,,7,1,5.5,1
230296,04/09/2014,2,1,Origin,Work,3,Dest,Home,3,2,,3,,,1,,,2,,,,,1,16,3,,1,,1,2,,5,4,65,2,1,,2,,,,6,1,8.5,1
230298,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,2,,3,,,1,,,2,,,,,3,15,3,,2,,1,2,,2,,45,1,6,,1,1,,1,5,2,6.2683,1
230299,04/10/2014,2,1,Origin,Work,3,Dest,Home,4,2,,3,,,1,,,2,,,,,1,13,2,,1,,1,3,,3,,69,1,6,,1,1,,1,5,2,5.5,2
230302,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,2,,5,,,1,,,2,,,,,2,14,4,,1,,1,3,,3,,57,2,1,,2,,,,7,1,5.5,1
230303,04/10/2014,2,1,Origin,Home,3,Dest,Home,5,2,,5,,,1,,,2,,,,,1,13,4,,1,,1,4,,4,,69,1,6,,2,,,,6,2,4.9286,1
230304,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,3,,,1,,,2,,,,,4,14,3,,1,,1,4,,4,,62,2,3,,1,12,Kannada,1,8,1,5.52,2
230306,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,2,,3,,,1,,,2,,,,,3,15,3,,1,,1,2,,3,,75,2,1,,2,,,,6,1,8.4694,1
230307,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,2,,3,,,1,,,2,,,,,4,14,3,,1,,1,2,,3,,82,2,1,,2,,,,6,2,5.7368,1
230308,04/10/2014,2,1,Origin,Business Appointment,3,Dest,Home,1,1,8,3,,,1,,,2,,,,,4,14,4,,1,,1,2,,3,,65,2,5,,2,,,,8,1,6.7234,2
230309,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,7,,,1,,,2,,,,,3,14,3,,1,,1,3,,5,4,65,2,1,,2,,,,7,1,6.7234,2
230311,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,3,,,1,,,2,,,,,1,13,3,,2,,1,3,,4,,46,2,1,,1,1,,1,10,1,6.7234,2
230312,04/10/2014,2,1,Origin,Work,3,Dest,Home,3,2,,3,,,1,,,2,,,,,2,14,4,,1,,1,3,,3,,80,2,3,,2,,,,10,1,3.8537,1
230315,04/10/2014,2,1,Origin,Work,3,Dest,Home,3,2,,3,,,1,,,2,,,,,2,15,2,,1,,1,4,,3,,59,1,7,Salvadorian,1,1,,1,5,2,9.3684,1
230316,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,2,,,1,,,,2,,,,1,15,4,,1,,1,2,,4,,70,2,3,,1,6,,1,4,1,3.8537,1
230317,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,3,,,1,,,,2,,,,1,12,3,,1,,1,4,,4,,61,1,1,,1,1,,1,6,1,3.8537,1
230320,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,2,,,1,,,,2,,,,1,13,3,,1,,1,3,,4,,70,2,1,,2,,,,7,1,5.5,2
230321,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,3,,,1,,,,2,,,,1,12,4,,2,,1,3,,3,,48,1,7,Hispanic/Latino,1,1,,1,7,1,6.7234,1
230322,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,1,13,4,,1,,1,5,,5,5,62,1,7,Hispanic/Latino,1,1,,1,8,2,8.4694,2
230327,04/15/2014,1,3,Origin,Home,1,Dest,Work,2,2,,1,,,1,,,,2,,,,2,12,4,,1,,1,3,,2,,52,2,1,,2,,,,8,1,5.7368,2
230330,04/17/2014,1,3,Origin,Home,4,Dest,Social/Recreation,3,2,,5,4,,1,,,,,,,,3,14,2,,1,,1,2,,3,,61,2,1,,1,12,German,1,5,2,5.5,1
230334,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,4,15,4,,1,,1,2,,2,,67,2,3,,1,6,,1,6,1,11.2,2
230335,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,15,3,,1,,1,2,,2,,60,2,1,,2,,,,6,2,6.2683,2
230336,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,4,15,3,,1,,1,2,,4,,69,2,1,,2,,,,7,1,5.7368,2
230337,04/17/2014,1,3,Origin,Home,1,Dest,Work,5,2,,1,,,1,,,,2,,,,4,14,3,,1,,1,3,,2,,86,2,5,,2,,,,8,1,13.3261,2
230339,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,4,15,3,,1,,1,3,,3,,71,2,1,,2,,,,7,1,9.8636,2
230340,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,4,16,3,,1,,1,2,,3,,73,2,7,Indian,1,12,Telugu,1,7,1,13.3261,2
230341,04/17/2014,1,3,Origin,Home,7,Dest,College,5,2,,1,3,,,,,,,,,2,4,13,3,,3,,2,3,,3,,75,2,3,,1,3,,1,9,1,19.8,2
261186,04/09/2014,2,1,Origin,Work,3,Dest,Home,2,2,,2,,,1,,,2,,,,,2,15,4,,1,,1,3,,3,,60,2,1,,2,,,,4,1,5.5,1
261187,04/09/2014,2,1,Origin,Work,3,Dest,Home,2,2,,2,,,1,,,2,,,,,1,15,3,,1,,1,3,,4,,70,2,1,,2,,,,5,1,4.9286,1
261189,04/09/2014,2,7,Origin,College,3,Dest,Home,1,2,,3,1,Q120,,,1,,,,,,4,15,2,,1,,1,3,,4,,74,2,4,,1,1,,1,5,1,3.8537,1
261190,04/09/2014,2,1,Origin,Work,3,Dest,Home,2,2,,2,,,5,,,2,,,,,2,14,4,,1,,1,3,,3,,80,2,1,,1,12,Sign Langauge,1,9,1,5.7368,1
261191,04/09/2014,2,1,Origin,College,3,Dest,Home,2,2,,2,,,1,,,2,,,,,2,15,4,,1,,1,3,,3,,63,1,7,Latino,1,1,,1,4,2,5.5,1
261192,04/09/2014,2,1,Origin,Work,3,Dest,Home,2,2,,2,,,5,,,2,,,,,1,15,4,,1,,1,3,,2,,57,2,1,,2,,,,5,1,5.5,1
261193,04/09/2014,2,1,Origin,Work,3,Dest,Home,2,2,,2,,,5,,,2,,,,,3,15,4,,1,,1,3,,4,,64,2,1,,2,,,,8,1,13.3261,1
261194,04/09/2014,2,1,Origin,Work,3,Dest,Home,2,2,,2,,,5,,,2,,,,,4,15,3,,1,,1,3,,3,,64,2,1,,2,,,,8,1,13.3261,1
261195,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,5,3,,,5,,,2,,,,,3,14,3,,1,,1,3,,4,,63,2,6,,2,,,,6,2,8.4286,2
261196,04/09/2014,2,1,Origin,Work,3,Dest,Home,4,2,,1,,,1,,,2,,,,,3,14,4,,1,,1,3,,3,,72,2,3,,1,12,Telugu,1,5,2,11.2,1
261197,04/09/2014,2,1,Origin,Work,3,Dest,Home,3,2,,3,,,1,,,2,,,,,3,15,4,,1,,1,3,,3,,78,1,7,Spanish,1,1,,1,5,2,11.2,1
261199,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,5,3,,,1,,,2,,,,,2,15,3,,1,,1,3,,5,5,60,2,1,,2,,,,8,1,6.2683,2
261204,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,13,3,,,1,,,2,,,,,1,15,4,,1,,1,2,,3,,71,2,1,,1,12,Arabic,1,6,1,8.3158,2
261205,04/10/2014,2,7,Origin,College,3,Dest,Home,3,2,,5,6,,,,,,,,2,,1,16,3,,1,,1,3,,4,,88,2,1,,2,,,,10,1,5.5,1
261207,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,5,,,1,,,2,,,,,3,4,4,,1,,1,3,,3,,55,2,1,,2,,,,8,2,5.52,2
261208,04/10/2014,2,1,Origin,Work,3,Dest,Home,5,2,,3,,,1,,,2,,,,,1,16,3,,1,,1,3,,3,,64,1,7,Latino,1,1,,2,5,1,11.2,1
261209,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,2,,3,,,1,,,2,,,,,3,16,2,,1,,1,3,,3,,61,2,1,,2,,,,10,1,6.2683,1
261214,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,1,14,3,,2,,1,3,,3,,0,2,2,,2,,,,7,2,6.7234,2
261215,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,3,,,1,,,,2,,,,1,14,4,,1,,1,3,,3,,54,2,2,,2,,,,4,1,11.2,1
261216,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,1,12,3,,1,,1,5,,3,,56,2,2,,2,,,,10,2,11.2,2
261220,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,3,,,1,,,,2,,,,1,16,4,,1,,1,3,,4,,55,2,1,,2,,,,7,1,5.52,1
261221,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,6,,,1,,,,2,,,,2,13,3,,1,,1,2,,2,,62,3,3,,1,6,,1,6,2,9.8636,1
261222,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,14,4,,1,,1,3,,3,,78,2,5,,2,,,,8,2,9.875,2
261223,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,3,Q125,,,2,,,,1,15,3,,1,,1,3,,5,4,57,2,1,,1,12,German,1,8,1,9.9167,1
261226,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,15,3,,2,,1,3,,3,,51,2,3,,2,,,,3,2,5.9333,2
261227,04/16/2014,1,3,Origin,Home,1,Dest,Work,7,2,,3,,,1,,,,2,,,,2,15,4,,1,,1,3,,5,7,59,2,4,,2,,,,7,1,3.8537,1
261229,04/16/2014,1,3,Origin,Home,1,Dest,Work,4,2,,1,,,1,,,,2,,,,2,14,3,,1,,1,3,,4,,56,1,4,,2,,,,7,2,6.2683,2
261231,04/16/2014,1,3,Origin,Home,1,Dest,Work,5,2,,1,,,1,,,,2,,,,2,15,4,,1,,1,4,,3,,69,2,3,,2,,,,7,2,6.2683,3
261232,04/16/2014,1,3,Origin,Home,1,Dest,Work,5,2,,1,,,1,,,,2,,,,2,15,4,,1,,1,3,,3,,56,2,1,,2,,,,7,2,11.2,2
261234,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,3,17,3,,1,,1,2,,3,,82,2,1,,2,,,,6,2,5.52,2
261235,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,15,4,,1,,1,2,,3,,48,2,1,,2,,,,7,1,8.4694,2
262053,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,3,,,1,,,2,,,,,1,16,4,,1,,1,2,,2,,60,2,2,,2,,,,6,2,5.5,2
262055,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,2,,4,,,1,,,2,,,,,2,15,4,,1,,1,3,,3,,74,1,1,,2,,,,5,1,5.5,1
